test,milisegundos,mediciones
1,300,403.00
1,600,537.00
1,900,699.00
1,1200,840.00
1,1500,1044.00
1,1800,1229.00
1,2100,1437.00
1,2400,1705.00
1,2700,2000.00
1,3000,2383.00
1,3300,2870.00
1,3600,3266.00
1,3900,3754.00
2,900,557.00
2,1200,638.00
2,1500,820.00
2,1800,952.00
2,2100,1210.00
2,2400,1403.00
2,2700,1688.00
2,3000,1940.00
2,3300,2395.00
2,3600,2778.00
2,3900,3275.00
3,900,577.00
3,1200,779.00
3,1500,914.00
3,1800,1099.00
3,2100,1554.00
3,2400,1735.00
3,2700,1840.00
3,3000,2044.00
3,3300,2449.00
3,3600,2895.00
3,3900,3159.00